,bowler_name,stat,date,team_name,opposition_name
1,Dan Goodwin,9-31,2014-07-12,Alleyn CC - 1st XI,Guildford City CC - 1st XI
2,Charles Fellows-Smith,8-18,2009-07-11,Alleyn CC - 3rd XI,Chessington CC - Saturday 3rd XI
0,Bill Morrin,8-21,2007-08-04,Alleyn CC - 1st XI,Streatham & Marlborough CC - 1st XI
2,Charles Fellows-Smith,8-30,2009-08-01,Alleyn CC - 3rd XI,Cheam CC - 3rd XI
2,Adrian St John,8-38,2010-06-12,Alleyn CC - 1st XI,Old Hamptonians CC - 1st XI
2,Simon Teesdale,8-72,2005-05-28,Alleyn CC - 1st XI,Addiscombe CC - 1st XI
0,Joshua Lawrence,7-17,2023-08-19,Alleyn CC - 1st XI,Godalming CC - 1st XI
1,Ryan Foley,7-23,2013-07-27,Alleyn CC - 1st XI,Old Emanuel CC - 1st XI
1,Mark Kenlock,7-28,2007-05-19,Alleyn CC - 1st XI,Bank of England CC - 1st XI
1,James Ryder,7-29,2014-06-14,Alleyn CC - 2nd XI,Chertsey CC - 2nd XI
1,Jamal Anderson,7-35,2011-07-23,Alleyn CC - 1st XI,SinjunGrammarians CC - 1st XI
2,Daud Khan,7-38,2006-07-08,Alleyn CC - 2nd XI,Dorking CC - 2nd XI
0,Charles Fellows-Smith,7-46,2009-08-15,Alleyn CC - 3rd XI,Pyrford CC - 3rd XI
4,Robert George,7-46,2011-08-27,Alleyn CC - 1st XI,Chipstead Coulsdon and Walcountians CC - 1st XI
0,Will Bevan,7-46,2015-06-13,Alleyn CC - 1st XI,Chertsey CC - 1st XI
1,Nigel Walker,7-50,2007-07-07,Alleyn CC - 3rd XI,Old Wimbledonians CC - Saturday 3rd XI
2,Nigel Walker,7-56,2010-07-03,Alleyn CC - 2nd XI,SinjunGrammarians CC - 2nd XI
2,Daud Khan,7-61,2006-07-29,Alleyn CC - 2nd XI,Streatham & Marlborough CC - 2nd XI
3,Nigel Walker,7-68,2007-06-23,Alleyn CC - 3rd XI,"Sutton CC, Surrey - 3rd XI"
4,Russell Egan-Wyer,6-4,2009-07-25,Alleyn CC - 4th XI,Thames Ditton CC - 4th XI
4,Russell Clayton,6-6,2023-06-17,Alleyn CC - 4th XI,Bexleyheath CC - 5th XI
2,Dan Goodwin,6-10,2012-07-21,Alleyn CC - 1st XI,Egham CC - 1st XI
2,Dan Goodwin,6-11,2018-08-11,Alleyn CC - 1st XI,Old Emanuel CC - 1st XI
1,Jamal Anderson,6-16,2009-07-18,Alleyn CC - 1st XI,Maori Oxshott CC - 1st XI
1,Charles Fellows-Smith,6-19,2010-05-08,Alleyn CC - 3rd XI,Epsom CC - 3rd XI
1,Alastair Reeves,6-20,2010-09-04,Alleyn CC - 4th XI,Trinity Mid-Whitgiftian CC - 4th XI
1,Jamal Anderson,6-21,2011-05-28,Alleyn CC - 1st XI,SinjunGrammarians CC - 1st XI
3,Adrian St John,6-21,2011-07-10,Alleyn CC - Development XI,Cheam CC - Under 18
2,Nigel Watson,6-22,2017-07-01,Alleyn CC - 2nd XI,Hampton Wick Royal CC - 2nd XI
1,Ryan Foley,6-22,2017-07-29,Alleyn CC - 1st XI,Old Tenisonians CC - 1st XI
2,Chief Patel,6-23,2008-08-16,Alleyn CC - 3rd XI,Chessington CC - Saturday 3rd XI
3,Will Bevan,6-24,2013-07-20,Alleyn CC - 1st XI,Metropolitan Police CC - 1st XI
0,Tom Bevan,6-25,2010-07-24,Alleyn CC - 1st XI,Warlingham CC - 1st XI
1,Gerard Joseph,6-26,2008-06-07,Alleyn CC - 2nd XI,Mitcham CC - 2nd XI
0,Joey Green,6-27,2005-06-18,Alleyn CC - 3rd XI,Old Whitgiftians CC - 3rd XI
3,Dan Goodwin,6-27,2013-05-11,Alleyn CC - 1st XI,Old Emanuel CC - 1st XI
1,David Winn,6-28,2011-06-11,Alleyn CC - 3rd XI,Normandy CC - 3rd XI
3,Andrew Winter,6-29,2006-05-13,Alleyn CC - 1st XI,"Ripley CC, Surrey - 1st XI"
1,Mark Kenlock,6-31,2006-07-01,Alleyn CC - 1st XI,Thames Ditton CC - 1st XI
1,Ryan Foley,6-31,2017-07-15,Alleyn CC - 1st XI,Long Ditton CC - 1st XI
2,Mark Johnson,6-34,2006-07-08,Alleyn CC - 1st XI,Dorking CC - 1st XI
1,Charles Fellows-Smith,6-34,2007-09-01,Alleyn CC - 3rd XI,"Ashford CC, Surrey - 3rd XI"
2,Vipul Patel,6-34,2009-07-18,Alleyn CC - 2nd XI,Maori Oxshott CC - 2nd XI
5,Chad Balluza,6-35,2021-08-14,Alleyn CC - 1st XI,Cobham Avorians CC - 1st XI
2,Sean Williams,6-38,2022-07-30,Alleyn CC - 2nd XI,Putney CC - 2nd XI
3,Joey Green,6-39,2008-06-21,Alleyn CC - 2nd XI,East Molesey CC - 2nd XI
3,Matt Hudspith,6-42,2008-07-05,Alleyn CC - 2nd XI,Maori Oxshott CC - 2nd XI
2,Dan Goodwin,6-43,2016-06-04,Alleyn CC - 1st XI,Old Pauline CC - 1st XI
4,Robert George,6-44,2019-07-06,Alleyn CC - 1st XI,Kempton CC - 1st XI
4,Nigel Walker,6-45,2007-06-09,Alleyn CC - 3rd XI,Chertsey CC - 3rd XI
0,Joe Barnes,6-51,2022-06-25,Alleyn CC - 1st XI,Merrow CC - 1st XI
2,Charles Fellows-Smith,6-54,2008-07-26,Alleyn CC - 1st XI,"Kingstonian CC, Surrey - 1st XI"
0,Mark Kenlock,6-55,2006-07-15,Alleyn CC - 1st XI,"Ripley CC, Surrey - 1st XI"
1,Mark Kenlock,6-55,2008-05-24,Alleyn CC - 1st XI,Chertsey CC - 1st XI
1,Mark Kenlock,6-60,2006-06-24,Alleyn CC - 1st XI,"Ashford CC, Surrey - 1st XI"
0,Charles Fellows-Smith,6-60,2007-08-11,Alleyn CC - 3rd XI,Malden Wanderers CC - 3rd XI
1,Joey Green,6-67,2005-07-30,Alleyn CC - 3rd XI,Purley CC - 3rd XI
0,Mark Kenlock,6-70,2008-08-23,Alleyn CC - 1st XI,"Ashford CC, Surrey - 1st XI"
0,Subhanullah Khan,5-5,2012-07-15,Alleyn CC - Development XI,Epsom CC - Trust
3,Chad Balluza,5-5,2017-09-02,Alleyn CC - 1st XI,Frimley CC - 1st XI
1,Ryan Foley,5-8,2013-07-06,Alleyn CC - 1st XI,Old Rutlishians CC - 1st XI
1,Will Bevan,5-13,2014-08-30,Alleyn CC - 1st XI,Churt and Hindhead CC - 1st XI
1,Joshua Lawrence,5-13,2023-07-01,Alleyn CC - 1st XI,Weybridge Vandals CC - 1st XI
0,Shakir Mahmood,5-14,2010-08-14,Alleyn CC - 3rd XI,Sanderstead CC - 3rd XI
1,Eshanullah Dawlatzai,5-14,2012-08-12,Alleyn CC - Development XI,Stoke D'Abernon CC - Sunday Academy XI
